permutation_id,mean_mismatch_cosine_similarity
1,0.174130
2,0.197444
3,0.230925
4,0.205155
5,0.192774
6,0.163200
7,0.213122
8,0.178365
9,0.180056
10,0.205105
11,0.240116
12,0.223478
13,0.196541
14,0.199144
15,0.220050
16,0.212147
17,0.187196
18,0.191892
19,0.211479
20,0.225374
21,0.208824
22,0.232175
23,0.208037
24,0.232686
25,0.213644
26,0.234758
27,0.188280
28,0.179607
29,0.207087
30,0.225272
31,0.258652
32,0.171910
33,0.203613
34,0.220040
35,0.223207
36,0.210841
37,0.176491
38,0.180901
39,0.235091
40,0.187364
41,0.208688
42,0.192301
43,0.161970
44,0.144496
45,0.159983
46,0.227612
47,0.211703
48,0.247936
49,0.208042
50,0.252540
51,0.192597
52,0.231288
53,0.230550
54,0.205716
55,0.194526
56,0.187532
57,0.192489
58,0.250087
59,0.172151
60,0.170836
61,0.157971
62,0.244063
63,0.176466
64,0.234426
65,0.198618
66,0.183015
67,0.246449
68,0.182716
69,0.234382
70,0.163814
71,0.222070
72,0.192764
73,0.206086
74,0.190032
75,0.164882
76,0.177070
77,0.179203
78,0.208339
79,0.188895
80,0.210347
81,0.218497
82,0.234553
83,0.219896
84,0.189550
85,0.210243
86,0.173686
87,0.205083
88,0.210578
89,0.183693
90,0.243865
91,0.179528
92,0.237956
93,0.181807
94,0.278879
95,0.181368
96,0.209910
97,0.221810
98,0.224173
99,0.205804
100,0.233109
101,0.259340
102,0.231704
103,0.231521
104,0.202311
105,0.192311
106,0.185353
107,0.152894
108,0.205513
109,0.170807
110,0.223458
111,0.221297
112,0.194648
113,0.171814
114,0.179516
115,0.238285
116,0.202527
117,0.222542
118,0.241333
119,0.202619
120,0.204136
121,0.222065
122,0.204849
123,0.174449
124,0.157795
125,0.186090
126,0.193931
127,0.213853
128,0.198722
129,0.219218
130,0.198499
131,0.212293
132,0.218445
133,0.271706
134,0.211771
135,0.206816
136,0.216887
137,0.193077
138,0.213826
139,0.179490
140,0.166310
141,0.180090
142,0.211264
143,0.226369
144,0.183356
145,0.214029
146,0.220868
147,0.204791
148,0.233563
149,0.182594
150,0.186395
151,0.189201
152,0.208320
153,0.178237
154,0.218237
155,0.228594
156,0.219269
157,0.180504
158,0.246586
159,0.228201
160,0.257638
161,0.204400
162,0.230240
163,0.193462
164,0.191373
165,0.243022
166,0.249993
167,0.214670
168,0.217294
169,0.231119
170,0.199413
171,0.209925
172,0.174405
173,0.191066
174,0.217335
175,0.238734
176,0.215528
177,0.206680
178,0.190707
179,0.236787
180,0.236828
181,0.245336
182,0.223012
183,0.208371
184,0.206615
185,0.202722
186,0.206136
187,0.176868
188,0.206753
189,0.190293
190,0.226604
191,0.187048
192,0.236891
193,0.173152
194,0.194549
195,0.210203
196,0.239421
197,0.200466
198,0.224064
199,0.257520
200,0.227055
201,0.194166
202,0.173975
203,0.183729
204,0.244678
205,0.149950
206,0.230203
207,0.199448
208,0.235234
209,0.185391
210,0.223882
211,0.229209
212,0.186405
213,0.175513
214,0.161848
215,0.204689
216,0.220130
217,0.223972
218,0.243316
219,0.218474
220,0.182368
221,0.263318
222,0.234760
223,0.228882
224,0.204304
225,0.209768
226,0.226128
227,0.208455
228,0.170803
229,0.214427
230,0.181032
231,0.160273
232,0.257803
233,0.191954
234,0.200157
235,0.194805
236,0.191356
237,0.190078
238,0.188950
239,0.197872
240,0.207092
241,0.209682
242,0.188418
243,0.169400
244,0.215590
245,0.209211
246,0.191774
247,0.217775
248,0.218409
249,0.164332
250,0.193079
251,0.196391
252,0.200661
253,0.216153
254,0.160351
255,0.165200
256,0.173222
257,0.250809
258,0.186633
259,0.245737
260,0.147842
261,0.213222
262,0.237137
263,0.246574
264,0.202945
265,0.238427
266,0.192136
267,0.236565
268,0.200375
269,0.154551
270,0.204434
271,0.234855
272,0.210897
273,0.232510
274,0.174310
275,0.214645
276,0.156950
277,0.204800
278,0.268415
279,0.239521
280,0.211716
281,0.215282
282,0.183183
283,0.203588
284,0.199753
285,0.197784
286,0.204540
287,0.202833
288,0.210734
289,0.208952
290,0.209323
291,0.185417
292,0.181501
293,0.198769
294,0.215050
295,0.239092
296,0.198816
297,0.214915
298,0.196513
299,0.213850
300,0.217670
301,0.229521
302,0.196068
303,0.151022
304,0.234631
305,0.166829
306,0.162906
307,0.214381
308,0.194958
309,0.194230
310,0.213524
311,0.201874
312,0.248724
313,0.254612
314,0.170709
315,0.214052
316,0.207613
317,0.186824
318,0.217153
319,0.200135
320,0.212671
321,0.194965
322,0.246059
323,0.244440
324,0.201511
325,0.211342
326,0.159600
327,0.216957
328,0.175813
329,0.206357
330,0.238887
331,0.192843
332,0.174882
333,0.229575
334,0.184905
335,0.224128
336,0.191641
337,0.205237
338,0.214125
339,0.169777
340,0.218426
341,0.177717
342,0.186821
343,0.219806
344,0.171187
345,0.214898
346,0.226228
347,0.239593
348,0.173040
349,0.253135
350,0.239093
351,0.183489
352,0.223933
353,0.207298
354,0.190440
355,0.176102
356,0.180328
357,0.207210
358,0.197396
359,0.158851
360,0.175995
361,0.201484
362,0.198815
363,0.208138
364,0.235242
365,0.206714
366,0.201450
367,0.149793
368,0.221722
369,0.177331
370,0.167481
371,0.207636
372,0.204897
373,0.209436
374,0.192101
375,0.228582
376,0.196726
377,0.182984
378,0.227219
379,0.164301
380,0.196360
381,0.232529
382,0.242178
383,0.180686
384,0.208451
385,0.222929
386,0.212243
387,0.205234
388,0.239058
389,0.284285
390,0.210896
391,0.185190
392,0.179871
393,0.207803
394,0.232816
395,0.183098
396,0.242348
397,0.150012
398,0.227285
399,0.223608
400,0.199925
401,0.206864
402,0.157792
403,0.189065
404,0.205659
405,0.169439
406,0.243558
407,0.229131
408,0.215576
409,0.231040
410,0.242819
411,0.195881
412,0.200594
413,0.221416
414,0.165056
415,0.243294
416,0.227452
417,0.223508
418,0.184181
419,0.269638
420,0.191485
421,0.222446
422,0.220952
423,0.313748
424,0.225229
425,0.235032
426,0.224767
427,0.215044
428,0.190417
429,0.219030
430,0.240018
431,0.193738
432,0.195091
433,0.189482
434,0.178898
435,0.252793
436,0.216934
437,0.193618
438,0.166779
439,0.196394
440,0.198330
441,0.166505
442,0.193739
443,0.204795
444,0.152300
445,0.211172
446,0.204153
447,0.235258
448,0.178083
449,0.211884
450,0.193195
451,0.205139
452,0.223851
453,0.199383
454,0.180824
455,0.239184
456,0.214686
457,0.205243
458,0.178786
459,0.223488
460,0.215721
461,0.211877
462,0.190153
463,0.188811
464,0.198678
465,0.200554
466,0.201888
467,0.207373
468,0.209584
469,0.212458
470,0.210842
471,0.197434
472,0.239858
473,0.172022
474,0.192415
475,0.211882
476,0.189287
477,0.177065
478,0.179028
479,0.189368
480,0.224519
481,0.162313
482,0.239298
483,0.168220
484,0.184612
485,0.177604
486,0.181360
487,0.180285
488,0.231675
489,0.196601
490,0.200638
491,0.199844
492,0.190047
493,0.207001
494,0.188950
495,0.208730
496,0.200545
497,0.194513
498,0.192381
499,0.214741
500,0.175450
501,0.229473
502,0.205767
503,0.214385
504,0.227550
505,0.236993
506,0.238384
507,0.211736
508,0.204263
509,0.177798
510,0.203672
511,0.205607
512,0.174988
513,0.192605
514,0.196826
515,0.189274
516,0.197552
517,0.209397
518,0.216152
519,0.204332
520,0.202600
521,0.213513
522,0.235371
523,0.187600
524,0.221475
525,0.230031
526,0.209699
527,0.195983
528,0.188782
529,0.221338
530,0.222585
531,0.210576
532,0.210144
533,0.241532
534,0.237373
535,0.144109
536,0.233233
537,0.186196
538,0.192339
539,0.224851
540,0.204481
541,0.218218
542,0.158048
543,0.179917
544,0.193981
545,0.166401
546,0.220900
547,0.227470
548,0.230427
549,0.189505
550,0.183513
551,0.181661
552,0.253732
553,0.200130
554,0.166097
555,0.215515
556,0.197663
557,0.205255
558,0.200497
559,0.233382
560,0.238243
561,0.211566
562,0.263911
563,0.215883
564,0.184433
565,0.200177
566,0.189480
567,0.194158
568,0.212014
569,0.182653
570,0.220001
571,0.194262
572,0.176180
573,0.228624
574,0.208559
575,0.208452
576,0.194710
577,0.163288
578,0.173465
579,0.163145
580,0.210310
581,0.232500
582,0.219618
583,0.207256
584,0.175640
585,0.198576
586,0.168092
587,0.216188
588,0.254867
589,0.238213
590,0.177981
591,0.167323
592,0.240350
593,0.173492
594,0.191760
595,0.178084
596,0.179007
597,0.222658
598,0.191228
599,0.155912
600,0.162754
601,0.167393
602,0.214727
603,0.169092
604,0.215912
605,0.158275
606,0.207890
607,0.184137
608,0.176080
609,0.191622
610,0.177436
611,0.217411
612,0.193156
613,0.263638
614,0.192047
615,0.255555
616,0.201257
617,0.189344
618,0.221314
619,0.197649
620,0.213008
621,0.242916
622,0.199214
623,0.196092
624,0.242014
625,0.224860
626,0.229743
627,0.177486
628,0.268706
629,0.211637
630,0.203834
631,0.250807
632,0.222882
633,0.213391
634,0.199888
635,0.234713
636,0.175275
637,0.195544
638,0.193440
639,0.185162
640,0.204136
641,0.225050
642,0.194924
643,0.254886
644,0.246904
645,0.225454
646,0.165024
647,0.215265
648,0.245474
649,0.196804
650,0.157327
651,0.229577
652,0.201981
653,0.161923
654,0.176114
655,0.200730
656,0.227530
657,0.231324
658,0.162641
659,0.177932
660,0.195406
661,0.191597
662,0.171553
663,0.138193
664,0.288736
665,0.210490
666,0.192303
667,0.178213
668,0.206821
669,0.214423
670,0.208416
671,0.256827
672,0.155783
673,0.213477
674,0.228058
675,0.207254
676,0.209085
677,0.201212
678,0.194629
679,0.230067
680,0.204616
681,0.203725
682,0.239170
683,0.234509
684,0.177827
685,0.214118
686,0.234401
687,0.213988
688,0.172356
689,0.193423
690,0.214494
691,0.207973
692,0.235645
693,0.194285
694,0.214298
695,0.198919
696,0.187932
697,0.224413
698,0.206960
699,0.226091
700,0.239675
701,0.198375
702,0.189772
703,0.208396
704,0.223369
705,0.212560
706,0.196019
707,0.151701
708,0.147578
709,0.188372
710,0.251555
711,0.196011
712,0.174140
713,0.196721
714,0.188316
715,0.182786
716,0.190980
717,0.174309
718,0.182372
719,0.220808
720,0.211337
721,0.218425
722,0.212818
723,0.232407
724,0.219894
725,0.166510
726,0.208613
727,0.182908
728,0.195860
729,0.206950
730,0.204623
731,0.178228
732,0.184865
733,0.239387
734,0.194469
735,0.197402
736,0.227096
737,0.172653
738,0.196712
739,0.236051
740,0.214337
741,0.195088
742,0.220027
743,0.184945
744,0.226598
745,0.173020
746,0.231629
747,0.174870
748,0.266941
749,0.196493
750,0.199707
751,0.196406
752,0.215034
753,0.191841
754,0.239233
755,0.176382
756,0.198422
757,0.204937
758,0.205904
